evidence_json,kind,owner_id,owner_kind,snapshot_id,subject_id,subject_kind,suggested_override,summary
"{""candidates"":[],""printed_name"":""AISA WEST COAST SWING OPEN"",""year"":2017}",series_alias,2017,history_year,snap_20260913T052940Z_0177184cf9eb,2017-04:aisa-west-coast-swing-open,history_listing,"AISA WEST COAST SWING OPEN,listed-aisa-west-coast-swing-open,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""City of Angels Swing"",""year"":2017}",series_alias,2017,history_year,snap_20260913T051244Z_a3c08b0b73ee,2017-04:city-of-angels-swing,history_listing,"City of Angels Swing,listed-city-of-angels-swing,wsdc_calendar,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""EASTER SWING (NASDE)"",""year"":2017}",series_alias,2017,history_year,snap_20260913T052940Z_0177184cf9eb,2017-04:easter-swing-nasde,history_listing,"EASTER SWING (NASDE),listed-easter-swing-nasde,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""CANADIAN SWING CHAM- PIONSHIPS (CSC)"",""year"":2017}",series_alias,2017,history_year,snap_20260913T052940Z_0177184cf9eb,2017-05:canadian-swing-cham-pionships-csc,history_listing,"CANADIAN SWING CHAM- PIONSHIPS (CSC),listed-canadian-swing-cham-pionships-csc,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""NORDIC WCS CHAMP"",""year"":2017}",series_alias,2017,history_year,snap_20260913T052940Z_0177184cf9eb,2017-05:nordic-wcs-champ,history_listing,"NORDIC WCS CHAMP,listed-nordic-wcs-champ,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""SOSWING CONVENTION"",""year"":2017}",series_alias,2017,history_year,snap_20260913T052940Z_0177184cf9eb,2017-05:soswing-convention,history_listing,"SOSWING CONVENTION,listed-soswing-convention,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""SWINGDIEGO (NASDE)"",""year"":2017}",series_alias,2017,history_year,snap_20260913T052940Z_0177184cf9eb,2017-05:swingdiego-nasde,history_listing,"SWINGDIEGO (NASDE),listed-swingdiego-nasde,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""SWINGIN"",""year"":2017}",series_alias,2017,history_year,snap_20260913T052940Z_0177184cf9eb,2017-05:swingin,history_listing,"SWINGIN,listed-swingin,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""USA GRAND NATIONAL DANCE CHAMPIONSHIP (NASDE)"",""year"":2017}",series_alias,2017,history_year,snap_20260913T052940Z_0177184cf9eb,2017-05:usa-grand-national-dance-championship-nasde,history_listing,"USA GRAND NATIONAL DANCE CHAMPIONSHIP (NASDE),listed-usa-grand-national-dance-championship-nasde,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""CMJ NSW West Coast Swing Dance Championships"",""year"":2017}",series_alias,2017,history_year,snap_20260913T051244Z_a3c08b0b73ee,2017-06:cmj-nsw-west-coast-swing-dance-championships,history_listing,"CMJ NSW West Coast Swing Dance Championships,listed-cmj-nsw-west-coast-swing-dance-championships,wsdc_calendar,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""American  Dance Camp"",""year"":2017}",series_alias,2017,history_year,snap_20260913T051244Z_a3c08b0b73ee,2017-07:american-dance-camp,history_listing,"American  Dance Camp,listed-american-dance-camp,wsdc_calendar,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""BIG APPLE COUNTRY DANCE CHAMPIONSHIPS"",""year"":2017}",series_alias,2017,history_year,snap_20260913T052919Z_08ef5aac2666,2017-07:big-apple-country-dance-championships,history_listing,"BIG APPLE COUNTRY DANCE CHAMPIONSHIPS,listed-big-apple-country-dance-championships,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""Big Apple Country Dance & NY Swing Congress"",""year"":2017}",series_alias,2017,history_year,snap_20260913T051244Z_a3c08b0b73ee,2017-07:big-apple-country-dance-ny-swing-congress,history_listing,"Big Apple Country Dance & NY Swing Congress,listed-big-apple-country-dance-ny-swing-congress,wsdc_calendar,review series identity",Historical listing needs a reviewed series alias
"{""candidates"":[],""printed_name"":""FORIDA DANCE MAGIC"",""year"":2017}",series_alias,2017,history_year,snap_20260913T052919Z_08ef5aac2666,2017-07:forida-dance-magic,history_listing,"FORIDA DANCE MAGIC,listed-forida-dance-magic,wsdc_newsletter,review series identity",Historical listing needs a reviewed series alias
