cancelled,end_date,event_key,in_published_events,lead_only_warning,name,period,possible_published_matches,research_confidence,research_edition_held,research_flags,research_has_results,research_platform,research_results_url,research_status
False,2026-01-04,2026-01-floorplay-swing-vacation,True,research lead; not accepted source evidence,Floorplay Swing Vacation,past,,high,,,true,worlddanceregistry,https://scores.worlddanceregistry.com/d9163563-3b50-11f0-9a29-0aa72bbce9ea/rounds,ended
False,2026-01-25,2026-01-freedom-swing-dance-challenge,True,research lead; not accepted source evidence,Freedom Swing Dance Challenge,past,2026-01-freedom-swing-dance-challenge,high,,,true,eepro,https://eepro.com/results/freedom2026/,ended
False,2026-01-19,2026-01-monterey-swing-fest,False,research lead; not accepted source evidence,Monterey Swing Fest,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/272/results/,ended
False,2026-01-25,2026-01-paris-swing-classic,True,research lead; not accepted source evidence,Paris Swing Classic,past,2026-01-paris-swing-classic,high,,,true,eepro,https://eepro.com/results/event.php?event=parisswingclassic2026,ended
False,2026-01-04,2026-01-spotlight-new-year-s-celebration,True,research lead; not accepted source evidence,Spotlight New Year's Celebration,past,,high,,,true,eepro,https://eepro.com/results/event.php?event=spotlight2025,ended
False,2026-01-26,2026-01-swing-resolution,True,research lead; not accepted source evidence,Swing Resolution,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/336/results/,ended
False,2026-01-04,2026-01-swingcouver,True,research lead; not accepted source evidence,SwingCouver,past,2026-01-swingcouver,high,,,true,eepro,https://eepro.com/results/event.php?event=swingcouver2025,ended
False,2026-01-05,2026-01-swingvester,False,research lead; not accepted source evidence,SwingVester 2025,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/349/results/,ended
False,2026-01-18,2026-01-the-australian-classic-wcsdc,False,research lead; not accepted source evidence,The Australian Classic WCSDC,past,,high,no,,false,not_held,,ended
False,2026-01-03,2026-01-ucwdc-country-dance-world-championships,True,research lead; not accepted source evidence,UCWDC Country Dance World Championships,past,,high,,,true,eepro,https://eepro.com/results/event.php?event=worlds2025,ended
False,2026-01-01,2026-01-westie-gala,False,research lead; not accepted source evidence,Westie Gala,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/352/results/,ended
False,2026-02-22,2026-02-arousa-westie-fest,True,research lead; not accepted source evidence,Arousa Westie Fest,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/361/results/,ended
False,2026-02-15,2026-02-capital-swing-convention,False,research lead; not accepted source evidence,Capital Swing Convention,past,2026-02-capital-swing,high,,,true,eepro,https://eepro.com/results/event.php?event=capital2026,ended
False,2026-02-02,2026-02-charlotte-westiefest,False,research lead; not accepted source evidence,Charlotte WestieFest,past,,medium,,,false,other,https://charlottewestiefest.com/results/,ended
False,2026-02-21,2026-02-euro-dance-festival,True,research lead; not accepted source evidence,Euro Dance Festival,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/335/results/,ended
False,2026-02-15,2026-02-prague-alchemy-swing,True,research lead; not accepted source evidence,Prague Alchemy Swing,past,,high,,event-trial,true,scoring.dance,https://scoring.dance/enUS/events/357/results/,ended
False,2026-02-23,2026-02-swing-crush,True,research lead; not accepted source evidence,Swing Crush,past,,high,,,true,eepro,https://eepro.com/results/event.php?event=swingcrush2026,ended
False,2026-02-08,2026-02-swing-snow,False,research lead; not accepted source evidence,Swing & Snow,past,,high,,,true,danceconvention.net,https://danceconvention.net/eventdirector/en/eventpage/300804490-swing-snow-2026/results,ended
False,2026-02-08,2026-02-swingtzerland,True,research lead; not accepted source evidence,Swingtzerland 2026,past,,high,,,false,scoring.dance,https://scoring.dance/enUS/events/363/results/,ended
False,2026-02-08,2026-02-trinity-swing,True,research lead; not accepted source evidence,Trinity Swing,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/362/results/,ended
False,2026-02-15,2026-02-valentine-swing,True,research lead; not accepted source evidence,Valentine Swing,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/368/results/,ended
False,2026-02-08,2026-02-waterloo-ontario-open-west-coast-swing-championships,True,research lead; not accepted source evidence,Waterloo Ontario Open West Coast Swing Championships,past,,high,,event-trial,true,worlddanceregistry,https://scores.worlddanceregistry.com/cb9e5ea8-3180-11f0-9a29-0aa72bbce9ea,ended
False,2026-02-08,2026-02-westeroz-swing,False,research lead; not accepted source evidence,WesterOz Swing,past,,high,unknown,,false,not_found,,ended
False,2026-02-22,2026-02-winter-coast,False,research lead; not accepted source evidence,Winter Coast,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/366/results/,ended
False,2026-03-30,2026-03-5280-westival,True,research lead; not accepted source evidence,5280 Westival,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/380/results/,ended
False,2026-03-15,2026-03-all-star-swingjam,True,research lead; not accepted source evidence,All Star SwingJam,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/321/results/,ended
False,2026-03-15,2026-03-dutch-open-west-coast-swing,False,research lead; not accepted source evidence,Dutch Open West Coast Swing,past,,high,,,true,scoring.dance,https://scoring.dance/enUS/events/369/results/,ended
False,2026-03-01,2026-03-flow-festival-nyc,False,research lead; not accepted source evidence,Flow Festival NYC,past,,high,,event-trial,true,eepro,https://eepro.com/results/event.php?event=flowfest2026,ended
