contest_id,entry_id,event_id,link_status,name_raw,published_wsdc_id,role,source
2024-06-disco-america/other-intermediate-pro-am-leader-hustle-silver-50,2024-06-disco-america/other-intermediate-pro-am-leader-hustle-silver-50/L-226,2024-06-disco-america,unmatched,joseph fabrizio and Ashely Lumberg,,leader,eepro
2024-06-disco-america/other-intermediate-pro-am-leader-hustle-silver-50,2024-06-disco-america/other-intermediate-pro-am-leader-hustle-silver-50/L-90,2024-06-disco-america,unmatched,James Rosin and Ashely Lumberg,,leader,eepro
2024-06-disco-america/other-intermediate-pro-am-leader-hustle,2024-06-disco-america/other-intermediate-pro-am-leader-hustle/L-154,2024-06-disco-america,unmatched,Edmund Tan and Diane Nardone,,leader,eepro
2024-06-disco-america/other-intermediate-pro-am-leader-hustle,2024-06-disco-america/other-intermediate-pro-am-leader-hustle/L-221,2024-06-disco-america,unmatched,James Patrick and Taryn Rucinski,,leader,eepro
2024-06-disco-america/other-intermediate-pro-am-leader-hustle,2024-06-disco-america/other-intermediate-pro-am-leader-hustle/L-90,2024-06-disco-america,unmatched,James Rosin and ASHELY LUMBERG,,leader,eepro
2024-06-disco-america/other-novice-amateur-just-hustle-novice,2024-06-disco-america/other-novice-amateur-just-hustle-novice/L-267,2024-06-disco-america,unmatched,Tony Castro and Denise Castro,,leader,eepro
2024-06-disco-america/other-novice-amateur-just-hustle-novice,2024-06-disco-america/other-novice-amateur-just-hustle-novice/L-271,2024-06-disco-america,unmatched,Ronald Almagro and Briana Simoes,,leader,eepro
2024-06-disco-america/other-novice-amateur-just-hustle-silver-50-novice,2024-06-disco-america/other-novice-amateur-just-hustle-silver-50-novice/L-267,2024-06-disco-america,unmatched,Tony Castro and Denise Castro,,leader,eepro
2024-06-disco-america/other-novice-pro-am-follower-hustle-silver-50,2024-06-disco-america/other-novice-pro-am-follower-hustle-silver-50/F-115,2024-06-disco-america,unmatched,Cynthia Vasquez and Luc Tshiboyi,,follower,eepro
2024-06-disco-america/other-novice-pro-am-follower-hustle-silver-50,2024-06-disco-america/other-novice-pro-am-follower-hustle-silver-50/F-125,2024-06-disco-america,unmatched,Nancy Ross and Luc Tshiboyi,,follower,eepro
2024-06-disco-america/other-novice-pro-am-follower-hustle-silver-50,2024-06-disco-america/other-novice-pro-am-follower-hustle-silver-50/F-89,2024-06-disco-america,unmatched,Laurie Jones and Christopher Crevatas,,follower,eepro
2024-06-disco-america/other-novice-pro-am-follower-hustle-silver-50,2024-06-disco-america/other-novice-pro-am-follower-hustle-silver-50/F-name-tracy-figueroa-and-christopher-crevatas,2024-06-disco-america,unmatched,Tracy Figueroa and Christopher Crevatas,,follower,eepro
2024-06-disco-america/other-novice-pro-am-follower-hustle,2024-06-disco-america/other-novice-pro-am-follower-hustle/F-110,2024-06-disco-america,unmatched,Emily Morales Medina and Roberto Pagan,,follower,eepro
2024-06-disco-america/other-novice-pro-am-follower-hustle,2024-06-disco-america/other-novice-pro-am-follower-hustle/F-115,2024-06-disco-america,unmatched,Cynthia Vasquez and Luc Tshiboyi,,follower,eepro
2024-06-disco-america/other-novice-pro-am-follower-hustle,2024-06-disco-america/other-novice-pro-am-follower-hustle/F-119,2024-06-disco-america,unmatched,Audrey Abramowitz and Sharrone,,follower,eepro
2024-06-disco-america/other-novice-pro-am-follower-hustle,2024-06-disco-america/other-novice-pro-am-follower-hustle/F-125,2024-06-disco-america,unmatched,Nancy Ross and Luc Tshiboyi,,follower,eepro
2024-06-disco-america/other-novice-pro-am-follower-hustle,2024-06-disco-america/other-novice-pro-am-follower-hustle/F-236,2024-06-disco-america,unmatched,Jaime Goodrich and Abdiel Jacobsen,,follower,eepro
2024-06-disco-america/other-novice-pro-am-follower-hustle,2024-06-disco-america/other-novice-pro-am-follower-hustle/F-245,2024-06-disco-america,unmatched,EvaVictoria White and Gustavo Rueda,,follower,eepro
2024-06-disco-america/other-novice-pro-am-follower-hustle,2024-06-disco-america/other-novice-pro-am-follower-hustle/F-252,2024-06-disco-america,unmatched,Barbara Lapido and Annie Lebedeva,,follower,eepro
2024-06-disco-america/other-novice-pro-am-follower-hustle,2024-06-disco-america/other-novice-pro-am-follower-hustle/F-89,2024-06-disco-america,unmatched,Laurie Jones and Christopher Crevatas,,follower,eepro
2024-06-disco-america/other-novice-pro-am-follower-hustle,2024-06-disco-america/other-novice-pro-am-follower-hustle/F-94,2024-06-disco-america,unmatched,Kylie Foley and Michael Petroski,,follower,eepro
2024-06-disco-america/other-novice-pro-am-follower-hustle,2024-06-disco-america/other-novice-pro-am-follower-hustle/F-name-tracy-figueroa-and-christopher-crevatas,2024-06-disco-america,unmatched,Tracy Figueroa and Christopher Crevatas,,follower,eepro
2024-06-disco-america/other-novice-pro-am-leader-hustle,2024-06-disco-america/other-novice-pro-am-leader-hustle/L-104,2024-06-disco-america,unmatched,Abraham Nieves and Diane Nardone,,leader,eepro
2024-06-disco-america/other-pro-am-follower-hustle-pre-adv,2024-06-disco-america/other-pro-am-follower-hustle-pre-adv/F-108,2024-06-disco-america,unmatched,Andrea Clemens and Daniel McGee,,follower,eepro
2024-06-disco-america/other-pro-am-follower-hustle-pre-adv,2024-06-disco-america/other-pro-am-follower-hustle-pre-adv/F-118,2024-06-disco-america,unmatched,Kaydee Molnar and Nick Pfeiffer,,follower,eepro
